id,name,lat_a,lng_a,lat_b,lng_b
8a97a505-4ff6-4812-8bc9-6a892a23c8ba,woro woro : Gare carrefour 2 Plateaux → 2 Plateaux Vallons,5.3649,-4.0156,5.3617,-3.9901
b403ac87-dc33-438f-99b2-a73e5d713f58,woro woro : Commissariat du 12è → Gare carrefour 2 plateaux,5.3739,-3.9921,5.3649,-4.0156
70a4a01a-c4f0-4a67-bce6-37e9cca514af,woro woro : Gare carrefour 2 plateaux → Commissariat du 12è,5.3739,-3.9921,5.3649,-4.0156
b8d238c0-7364-478e-9fd2-231b6f8b6372,woro woro : Zoo → Opera,5.3853,-3.9928,5.3782,-4.0063
fe1e8fb7-3aa3-4396-a016-2af5f34587e4,woro woro : Opera → Zoo,5.3853,-3.9928,5.3782,-4.0063
ee7581f7-2269-4430-9df3-20cf1836e5b4,woro woro : Koweit → Sable,5.3553,-4.0656,5.3355,-4.0623
36f43eb3-fe5c-4c83-b93a-1ec74446bee0,woro woro : 2 Plateaux Vallons → 2 Plateaux Mobile,5.3618,-3.99,5.3684,-3.9987
c47655c9-fac5-47ae-a4c6-e92121ca984b,gbaka : Yopougon Académie → Yopougon Siporex,5.3533,-4.0741,5.3238,-4.1067
e066b38e-c24e-42d9-be2e-bace35c46f5d,woro woro : 2 Plateaux Mobile → 2 Plateaux Vallons,5.3684,-3.9987,5.3617,-3.9901
3f30085a-477d-4961-9a83-a26858447e4f,woro woro : Angré CNPS → 2 Plateaux Mobile,5.3834,-3.9737,5.3691,-3.9984
65a999c2-6e83-4372-98b6-b8489b100131,woro woro : 2 Plateaux Mobile → Angré CNPS,5.369,-3.9982,5.3834,-3.9737
4808d7ba-dceb-4382-8e63-939db12d9f60,woro woro : Abobo Doumé → Koweit,5.3222,-4.0541,5.3113,-4.0359
79388fa5-8ee1-4c9e-b8c9-528d439aa32b,woro woro : 2 Plateaux Mobile → Abobo Azur Mobil,5.369,-3.9982,5.4,-4.0062
b66d1e5f-2f91-4cd8-8d3b-ee94e96e2bae,woro woro : Angré Château → 2 Plateaux Mobile,5.4152,-3.9773,5.3682,-3.9983
abb3aaed-ade5-4229-a8c4-5add2f1a5699,woro woro : 2 Plateaux Mobile → Angré Château,5.369,-3.9982,5.4152,-3.9773
31323953-d4d4-4788-869c-0f4b2f4a31ed,gbaka : Yopougon Boissy → Adjame Agban,5.3344,-4.055,5.3292,-4.0497
f984c00a-2a91-40e1-9fba-290575ab6bd0,woro woro : Angré Nouveau CHU → 2 Plateaux Mobile,5.3999,-3.9564,5.3691,-3.9984
60cbe1f6-0bf4-4214-8b4f-c18e57245774,woro woro : 2 Plateaux Mobile → Angré Nouveau CHU,5.369,-3.9982,5.3997,-3.9565
2c70660a-15c4-4d63-92fd-6fbc626d2114,woro woro : Mosquée de la Riviera 3 → Riviera 2 Station,5.3578,-3.9645,5.3513,-3.9762
76a1d677-8b80-4c54-916c-141604881288,woro woro : Riviera 2 Station → Mosquée de la Riviera 3,5.3514,-3.9763,5.3493,-3.954
7f701c5a-fce2-489e-aa0f-cfd4801b5885,woro woro : Belle Côte- Palmeraie → Warren/Comissariat,5.3873,-3.9691,5.3663,-3.9605
b3db799d-aebf-49e1-9c95-0583f36b69a6,woro woro : Warren/Comissariat → Belle Côte- Palmeraie,5.3601,-3.9618,5.3873,-3.9691
b26c0d0d-ad9c-456b-816a-16c5fcf1ff3f,woro woro : CHU Angré → Warren/Comissariat,5.36,-3.9617,5.366,-3.9604
a29386d9-f369-44c9-b92a-6648d5052a6e,woro woro : Warren/Comissariat → CHU Angré,5.3601,-3.9618,5.366,-3.9606
1bde0605-8484-4427-ad40-c04029d348c6,woro woro : Vallon/ Las Palmas → SGBCI Cocody,5.3496,-3.9913,5.3369,-4.0039
7773cb16-2655-4c71-a95f-32472a41bb1c,woro woro : SGBCI Cocody → Vallon/ Las Palmas,5.3396,-4.0035,5.3797,-3.9941
3504dec7-83da-4803-a148-d5c0a02c413d,gbaka : Adjamé Liberté → Carrefour Lokoa,5.3534,-4.0161,5.3193,-4.0997
b5b01e42-2e86-4c1d-b8d6-130bc2e3e9ee,woro woro : Akouedo village → Palmeraie DGI,5.3603,-3.9565,5.3611,-3.9578
cc6a92d9-63c4-4262-b2b8-6fae27bbc062,woro woro : Palmeraie DGI → Akouedo village,5.3608,-3.9581,5.3611,-3.9578
3018874a-406b-4bfc-a9ac-fa8bc55f1455,gbaka : Koweit → Sable,5.3553,-4.0656,5.3355,-4.0623
10fa1f39-e034-4787-befa-794f034463f2,gbaka : Adjamé Agban → Yopougon gare Gesco,5.3673,-4.1023,5.3646,-4.0963
647763a6-7517-4b5b-b87c-48e11e628c93,woro woro : Akouedo basket → Faya,5.3678,-3.9379,5.3484,-3.941
52cdbc1a-efae-4397-bd25-2fd64386e19a,woro woro : Faya → Akouedo basket,5.3678,-3.9379,5.3484,-3.941
711ecd43-bbd1-48db-8dab-8d1ec98fbcdd,woro woro : Cité Sir→ Nouveau goudron Abatta,5.3899,-3.9298,5.3746,-3.9291
6932e172-3747-4bf5-a5de-5083dddb0eb7,woro woro : Nouveau goudron Abatta → Cité Sir,5.3742,-3.929,5.3899,-3.9298
fcdd12b4-8e45-4586-a169-d1f8e1a6fc2d,woro woro : Cité prestige → Nouveau goudron Abatta,5.3862,-3.9206,5.3742,-3.929
92276d5e-199a-4781-a063-95917dc58513,woro woro : Nouveau goudron Abatta → Cité prestige,5.3742,-3.929,5.3862,-3.9206
069eccd3-b0c8-4bcb-9dec-debe3f8bc05a,woro woro : Nouveau CHU → Nouveau goudron Abatta,5.3994,-3.9534,5.3746,-3.9291
013a6782-344e-47bf-bcb6-9e8cdd839692,woro woro : Nouveau goudron Abatta → Nouveau CHU,5.3742,-3.929,5.3995,-3.9539
a5afbfe5-07a0-4655-a0d2-8547dab9e1c0,woro woro : Angre fin goudron → Nouveau goudron Abatta,5.4156,-3.9768,5.3744,-3.9289
c4f3d42a-30bf-403f-967d-0354d37519cf,woro woro : Nouveau goudron Abatta → Angre fin goudron,5.3744,-3.9289,5.4156,-3.9768
5a081472-a43a-413b-9719-bea586d045d2,woro woro : DC10 → Riviera 2 Station,5.3291,-3.9518,5.3513,-3.9762
8a328f1a-cd2a-4e0a-b0b3-6c599d5fc21b,woro woro : Riviera 2 Station → DC10,5.3514,-3.9763,5.3309,-3.9572
07fdc386-8719-43a0-975f-dbc2b9c67046,woro woro : STL → Riviera 2 Station,5.3251,-3.9601,5.3513,-3.9762
5f956d11-e0d8-4d19-a591-2777a5ff7e86,woro woro : Riviera 2 Station → STL,5.3251,-3.9601,5.3514,-3.9763
9efc24ed-58eb-453d-884c-680f6524e24f,woro woro : M'Pouto → 9 kilo,5.3247,-3.9549,5.3573,-3.9639
6137b60b-603f-48c4-af8c-426d44e9f8a6,gbaka : Gare Kobenan Agban → Yopougon marché Bagnon,5.3403,-4.1097,5.3649,-4.0957
5f231056-bae2-49b5-b729-f18b6aa0da9f,woro woro : 9 kilo → M'Pouto,5.3247,-3.9549,5.3575,-3.964
edd64bfa-e7a5-464a-a689-ef3418dfd75d,woro woro banalisé : Plateau Super U → Mairie d'Adjamé,5.3207,-4.0196,5.3418,-4.0262
7cc3defb-b331-4bbb-b4c8-b2f8601e862c,gbaka : Yopougon IGES → Yopougon Siporex,5.3191,-4.0803,5.3553,-4.074
3b545396-ce35-44eb-9208-83198719edae,gbaka : Yopougon Lokoa → Adjame Nouvelle Gare,5.3193,-4.0997,5.3595,-4.0288
45f917b6-64fa-42cb-8460-1fa6b86853e3,woro woro : Ecole libanaise → 9 kilo,5.3289,-3.9508,5.3573,-3.9639
6056f4be-8185-4dd1-ac3e-422ee569adbb,woro woro : Belle Ville → Gare d'Abobo,5.4336,-3.9886,5.4195,-4.0154
7fd40abe-8df7-4c2c-928c-eb11205e8939,gbaka : Sable → Koweit,5.3553,-4.0656,5.3355,-4.0623
235928b4-ca1b-4bab-aed3-b50d6a0f356e,gbaka : Gare Kobenan Agban → Yopougon koweit,5.3345,-4.0623,5.3222,-4.0547
db392c2c-c09d-4c30-b0f7-6344557bd309,woro woro : 9 kilo → Ecole libanaise,5.3284,-3.9451,5.3575,-3.964
4003ee22-1735-4f5a-adff-472aeac58148,woro woro : Angré Château → Angré Petro Ivoire,5.4153,-3.9774,5.4044,-3.9908
2a6b4cce-938e-4bf9-ba98-9717093fcf5c,woro woro : Angré Petro Ivoire → Angré Château,5.4049,-3.9906,5.4152,-3.9773
99018e5b-81b0-4d70-a1d8-d3641b141549,woro woro : CHU Angré → Angré Petro Ivoire,5.3999,-3.9564,5.4044,-3.9905
a3cb67c2-7ae6-41f3-bd50-ed8028498693,woro woro : Angré Petro Ivoire → CHU Angré,5.3997,-3.9565,5.4044,-3.9901
049d7b5d-0c7c-437c-b43d-53b8a4475eb3,woro woro : Angré Petro Ivoire → Mahou,5.4042,-3.9908,5.3996,-3.9974
ce54c480-62f3-437a-9c1e-8dd171a280e9,woro woro : Mahou → Angré Petro Ivoire,5.4042,-3.9907,5.3996,-3.9974
52ff45ad-98e0-4bae-9670-29e8c47af7bf,woro woro : Hôtel Ivoire → Angré Château,5.3283,-4.0049,5.4152,-3.9773
560cb558-19a2-4d9e-b09f-c747f7130cc7,gbaka : Yopougon Lokoa → Yopougon Siporex,5.3553,-4.074,5.3193,-4.0997
aff88dd8-bfde-43d1-92b7-d99bcc4f5d07,woro woro : Angré Château → Hôtel Ivoire,5.4153,-3.9774,5.3281,-4.0052
6bb52d98-7783-4354-97ab-df3622ef5efa,gbaka : Yopougon Siporex → Yopougon IGES,5.3533,-4.0741,5.3191,-4.0803
